Order ID,Product Name,Customer ID,Quantity Sold,Sales Revenue,Order Date
10001,Mechanical Keyboard,CUST5240,1,1233.16,2023-03-13
10002,LED Desk Lamp,CUST5125,7,7438.49,2022-06-02
10003,Webcam HD,CUST5063,4,1355.92,2023-06-27
10004,Noise Cancelling Headphones,CUST5028,5,4939.06,2025-01-18
10005,LED Desk Lamp,CUST5133,7,6055.48,2022-05-06
10006,Ergonomic Chair,CUST5064,3,1191.92,2025-02-22
10007,Laptop Pro,CUST5157,2,2049.52,2023-05-04
10008,Tablet Lite,CUST5054,3,1473.21,2023-10-04
10009,Webcam HD,CUST5201,5,4746.07,2024-02-28
10010,Braided USB Cable,CUST5177,3,3125.22,2024-05-15
10011,Braided USB Cable,CUST5224,4,1463.52,2022-10-23
10012,27-inch Monitor,CUST5044,5,5176.02,2023-08-13
10013,Braided USB Cable,CUST5213,5,838.18,2024-09-22
10014,USB-C Hub,CUST5012,7,3826.82,2025-02-17
10015,Smartphone X,CUST5018,2,151.26,2023-09-16
10016,External SSD 1TB,CUST5292,1,1063.22,2023-01-19
10017,LED Desk Lamp,CUST5249,7,1178.42,2025-02-17
10018,LED Desk Lamp,CUST5205,3,3216.11,2024-01-15
10019,Wireless Mouse,CUST5018,1,31.96,2023-02-15
10020,Noise Cancelling Headphones,CUST5107,2,1752.17,2024-05-19
10021,Laptop Pro,CUST5085,6,672.98,2022-07-14
10022,Noise Cancelling Headphones,CUST5222,3,3078.46,2025-01-21
10023,Webcam HD,CUST5267,7,2028.14,2022-10-28
10024,Fast Charger,CUST5029,1,73.41,2024-10-29
10025,Tablet Lite,CUST5272,1,264.26,2022-03-08
10026,Tablet Lite,CUST5216,5,5577.95,2022-11-05
10027,Fast Charger,CUST5113,7,7938.30,2023-12-10
10028,Fast Charger,CUST5108,5,3738.01,2025-02-22
10029,USB-C Hub,CUST5182,7,1184.08,2024-08-25
10030,Fast Charger,CUST5033,1,224.32,2022-02-12
10031,Webcam HD,CUST5234,7,495.87,2024-11-19
10032,Smartphone X,CUST5024,8,6150.29,2023-11-25
10033,Fast Charger,CUST5012,5,2002.17,2022-02-06
10034,External SSD 1TB,CUST5268,1,804.98,2022-01-04
10035,External SSD 1TB,CUST5067,2,1260.57,2022-10-31
10036,Tablet Lite,CUST5278,3,216.28,2023-04-19
10037,Fast Charger,CUST5202,1,117.75,2024-07-20
10038,USB-C Hub,CUST5040,5,2579.84,2023-01-31
10039,Laptop Pro,CUST5154,4,4427.27,2023-03-22
10040,27-inch Monitor,CUST5154,6,3162.59,2022-12-01
10041,USB-C Hub,CUST5244,1,403.51,2023-06-30
10042,Gaming Mousepad,CUST5085,4,4334.84,2024-04-29
10043,USB-C Hub,CUST5085,4,4274.76,2024-04-22
10044,Braided USB Cable,CUST5183,3,2774.57,2022-10-30
10045,Tablet Lite,CUST5102,4,3382.15,2023-05-03
10046,Mechanical Keyboard,CUST5180,5,2428.28,2023-07-30
10047,External SSD 1TB,CUST5219,4,116.16,2022-02-15
10048,Noise Cancelling Headphones,CUST5212,3,3538.71,2022-04-30
10049,Braided USB Cable,CUST5015,7,8695.89,2024-06-02
10050,External SSD 1TB,CUST5084,2,2439.22,2023-07-13
10051,USB-C Hub,CUST5130,5,3339.54,2023-04-18
10052,Fast Charger,CUST5087,5,1894.79,2022-06-22
10053,External SSD 1TB,CUST5023,2,2050.71,2024-10-22
10054,Fast Charger,CUST5002,1,619.49,2022-06-05
10055,LED Desk Lamp,CUST5295,5,2722.13,2023-03-05
10056,Noise Cancelling Headphones,CUST5101,2,1692.13,2023-11-15
10057,Fast Charger,CUST5281,7,1497.20,2023-03-24
10058,LED Desk Lamp,CUST5031,7,3167.92,2023-07-13
10059,Gaming Mousepad,CUST5213,4,709.44,2023-09-04
10060,Smartphone X,CUST5230,7,7184.13,2022-10-28
10061,Gaming Mousepad,CUST5275,7,5893.08,2022-09-10
10062,Ergonomic Chair,CUST5287,7,293.68,2023-08-31
10063,Laptop Pro,CUST5039,5,1982.64,2022-08-05
10064,Gaming Mousepad,CUST5184,6,6918.70,2023-03-02
10065,External SSD 1TB,CUST5112,1,338.45,2023-11-02
10066,Braided USB Cable,CUST5242,7,2778.64,2022-03-31
10067,External SSD 1TB,CUST5143,6,4702.86,2024-12-18
10068,Braided USB Cable,CUST5250,3,1532.55,2022-03-14
10069,Noise Cancelling Headphones,CUST5147,6,4318.61,2024-02-17
10070,Tablet Lite,CUST5150,8,7095.99,2022-07-09
10071,Noise Cancelling Headphones,CUST5129,8,2799.38,2024-01-04
10072,Webcam HD,CUST5246,1,258.40,2025-02-05
10073,27-inch Monitor,CUST5106,7,1788.50,2023-03-14
10074,Tablet Lite,CUST5252,7,495.55,2022-10-14
10075,USB-C Hub,CUST5234,1,35.48,2022-10-20
10076,Noise Cancelling Headphones,CUST5268,4,3184.79,2024-11-14
10077,Ergonomic Chair,CUST5178,2,1375.75,2023-07-19
10078,Gaming Mousepad,CUST5146,6,5325.54,2025-02-06
10079,External SSD 1TB,CUST5248,2,2052.98,2024-07-06
10080,27-inch Monitor,CUST5268,7,6058.83,2024-03-20
10081,Noise Cancelling Headphones,CUST5168,8,621.93,2023-07-18
10082,LED Desk Lamp,CUST5059,2,1410.96,2023-03-05
10083,USB-C Hub,CUST5207,5,3629.49,2024-01-09
